Country,variable,02/02/2020,09/02/2020,16/02/2020,23/02/2020,01/03/2020,08/03/2020,15/03/2020,22/03/2020,29/03/2020,05/04/2020,12/04/2020,19/04/2020,26/04/2020,03/05/2020,10/05/2020,17/05/2020,24/05/2020,31/05/2020,07/06/2020,14/06/2020,21/06/2020,28/06/2020,05/07/2020,12/07/2020,19/07/2020,26/07/2020,02/08/2020,09/08/2020,16/08/2020,23/08/2020,30/08/2020,06/09/2020,13/09/2020,20/09/2020,27/09/2020,04/10/2020,11/10/2020,18/10/2020,25/10/2020,01/11/2020,08/11/2020,15/11/2020,22/11/2020,29/11/2020,06/12/2020,13/12/2020,20/12/2020,27/12/2020,03/01/2021,10/01/2021,17/01/2021,24/01/2021,31/01/2021,07/02/2021,14/02/2021,21/02/2021,28/02/2021,07/03/2021,14/03/2021,21/03/2021,28/03/2021,04/04/2021,11/04/2021,18/04/2021,25/04/2021,02/05/2021,09/05/2021,16/05/2021,23/05/2021,30/05/2021,06/06/2021,13/06/2021,20/06/2021,27/06/2021,04/07/2021,11/07/2021,18/07/2021,25/07/2021,01/08/2021,08/08/2021,15/08/2021,22/08/2021,29/08/2021,05/09/2021,12/09/2021,19/09/2021,26/09/2021,03/10/2021,10/10/2021,17/10/2021,24/10/2021,31/10/2021,07/11/2021,14/11/2021,21/11/2021,28/11/2021,05/12/2021,12/12/2021,19/12/2021,26/12/2021,02/01/2022,09/01/2022,16/01/2022,23/01/2022,30/01/2022,06/02/2022,13/02/2022,20/02/2022,27/02/2022,06/03/2022,13/03/2022,20/03/2022,27/03/2022,03/04/2022,10/04/2022,17/04/2022,24/04/2022,01/05/2022,08/05/2022,15/05/2022,22/05/2022,29/05/2022,05/06/2022,12/06/2022,19/06/2022,26/06/2022,03/07/2022,10/07/2022,17/07/2022,24/07/2022,31/07/2022,07/08/2022,14/08/2022,21/08/2022,28/08/2022,04/09/2022,11/09/2022,18/09/2022,25/09/2022,02/10/2022,09/10/2022,16/10/2022,23/10/2022,30/10/2022,06/11/2022,13/11/2022,20/11/2022,27/11/2022,04/12/2022,11/12/2022,18/12/2022,25/12/2022
Afghanistan,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.13,0.13,0.13,0.29,0.29,0.58,0.58,0.58,1.09,1.14,1.17,1.17,1.17,1.18,1.58,1.7,1.81,1.81,1.81,1.81,1.81,1.81,1.87,1.87,1.88,1.88,1.88,1.88,2.01,2.01,2.01,2.01,2.01,2.01,8.58,8.58,8.58,8.58,8.58,8.58,8.58,10.07,10.6,10.71,10.82,10.98,11.13,11.27,11.67,11.93,12.04,12.04,12.32,12.36,12.36,12.61,12.76,12.77,12.85,12.94,13.03,13.03,13.15,13.27,13.27,13.55,13.69,13.89,13.99,14.51,17.36,17.74,22.04,22.04,25.42,25.81,26.13,26.32,26.33,26.44,26.57,26.65,26.78,26.78,26.95,27.15,27.22,27.32,27.46,27.46,27.53,27.53,27.86
Albania,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,0.02,0.02,,,,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,15.78,16.64,17.07,17.33,17.74,18.15,18.89,20.12,20.68,21.2,22.52,23.67,24.86,26.42,27.71,28.81,29.7,31.56,32.31,32.81,33.45,33.86,34.47,35.12,35.67,36.32,36.87,37.29,37.71,38.14,38.79,39.38,39.81,40.16,41.35,41.63,41.63,42.57,44.17,44.37,44.54,44.67,44.71,44.84,44.89,45,45.08,45.18,45.28,45.34,45.71,45.71,45.81,46.41,46.45,46.54,46.54,46.63,46.67,46.67,46.74,46.74,46.81,46.84,46.84,46.84,46.94,46.94,46.99,46.99,47.04,47.06,47.06,47.06,47.11,47.13,47.13,47.13,47.17,47.17,47.19,47.19,47.22,47.22,47.22
Algeria,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,7.62,7.62,11.14,12.95,12.95,13.4,13.4,13.4,13.4,14.09,14.17,14.25,14.36,14.91,14.96,15.31,15.31,15.63,15.72,15.72,16.14,16.14,16.14,16.14,16.14,16.49,16.61,16.61,16.61,16.62,16.62,16.62,16.62,16.62,16.62,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46,17.46
Andorra,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,2.03,,2.99,2.99,4.57,8.89,8.89,8.89,12.25,12.25,27.22,29.84,30.29,33.73,34.58,34.58,34.58,38.24,43.39,48.43,52.25,52.25,53.87,60.68,63.56,63.56,63.93,63.93,66.27,66.27,66.27,66.27,68.02,68.11,68.11,68.11,68.11,68.88,68.88,68.88,68.88,68.88,70.26,70.92,70.92,71.5,71.5,71.5,72.2,72.28,72.28,72.38,72.39,72.4,72.4,72.4,72.41,72.41,72.44,72.44,72.45,72.45,72.47,72.48,72.48,72.48,72.49,72.49,72.49,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.51,72.51,72.51,72.51,72.51,72.51,72.51,72.51,72.51,72.51,72.51,72.51,72.52,72.52,72.52,72.52,72.52,72.52,72.52
Angola,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.14,0.24,0.37,0.69,0.69,1.28,1.28,1.28,1.65,1.77,1.86,1.91,2.18,2.43,2.55,2.65,2.67,2.69,2.69,2.69,2.73,2.73,2.88,3.12,3.28,4.25,5.16,5.98,5.98,8.05,8.87,11.59,12.64,14.81,16.3,17.27,17.61,17.61,19.68,20.36,20.86,21.59,22.97,23.32,26.1,27.29,28.1,28.78,29.3,29.76,30.29,30.61,31.15,31.57,33.16,33.16,33.16,33.16,33.89,33.89,33.89,34.67,34.67,35.69,35.69,35.69,36.96,37.3,37.3,37.96,38.33,38.33,39.08,39.44,39.44,39.89,39.96,39.96,39.96,39.96,39.96,39.96,39.96,39.96,39.96,39.96,39.96,39.96,39.96,41.83,41.83,42.12,42.12
Antigua and Barbuda,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.38,28.18,28.83,28.83,30.54,31.73,31.73,33.15,33.34,34.63,35.42,36.35,37.2,38.14,38.14,39.13,39.36,39.79,40.35,40.68,41.17,41.63,42.09,42.99,43.79,46.58,48.09,51.81,56.7,58.05,58.76,59.4,60.01,60.85,62.38,65.15,65.5,65.5,66.03,66.28,66.42,66.42,66.5,66.91,66.91,67.39,67.44,67.44,67.71,67.71,67.93,67.93,68.08,68.08,68.16,68.16,68.16,68.16,68.16,68.16,68.16,68.16,68.16,68.25,68.25,68.35,68.35,68.35,68.35,68.35,68.35,68.35,68.35,68.35,68.35,68.35,68.35,68.35,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56,68.56
Argentina,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.3,0.51,0.59,0.63,0.73,0.85,1.25,2.12,3.14,4.61,5.89,6.87,8.51,11.08,12.83,14.65,16.19,17.71,18.49,20,21.5,25.78,29.67,32.86,36.38,40.91,45.05,49.77,53.83,56.8,58.9,60.05,61.34,62.45,63.49,64.13,64.74,65.71,66.47,67.31,70,74.07,77.1,79.04,80.33,81.1,81.86,82.78,83.47,84.16,84.65,85.34,86.43,87.24,87.82,88.34,88.77,89.15,89.45,89.73,89.84,89.95,90.05,90.12,90.18,90.23,90.26,90.3,90.33,90.37,90.41,90.44,90.47,90.49,90.52,90.54,90.55,90.57,90.59,90.6,90.62,90.63,90.66,90.7,90.72,90.75,90.78,90.8,90.82,90.84,90.85,90.87,90.88,90.9,90.91,90.92,90.94,90.95,90.95,90.96,90.97,90.99,91
Armenia,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.39,0.69,0.96,1.21,1.67,1.67,1.89,2.1,2.1,2.79,3.4,3.91,4.33,4.77,5.2,5.53,6.35,7.02,7.74,8.54,9.52,9.52,9.52,15.63,17.91,20.84,22.08,24.53,26.57,28.75,28.75,31.28,32.5,33.59,33.98,34.27,34.27,35.96,37.12,37.91,38.86,38.86,39.59,39.59,40.05,40.23,40.23,40.57,40.57,40.57,40.57,40.57,40.57,40.62,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63
Aruba,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65,27.43,39.3,49.94,51.01,52.36,53.99,57.53,59.1,60.13,62.04,62.81,63.2,63.96,65.92,66.73,67.55,68.38,68.56,69.59,72.59,73.7,74.2,75.47,75.72,76.23,76.52,76.9,77.08,77.37,77.64,77.9,78.14,78.39,78.56,78.67,78.84,79.08,79.39,79.61,79.85,80.07,81.13,81.33,81.55,81.78,81.96,82.08,82.18,82.3,82.4,82.5,82.62,82.71,82.81,82.94,83.02,83.12,83.23,83.32,83.39,83.51,83.6,83.68,83.74,83.78,83.83,83.93,83.98,84.04,84.11,84.16,84.2,84.22,84.24,84.29,84.33,84.35,84.38,84.41,84.44,84.47,84.51,84.53,84.55,84.58,84.61,84.63,84.64,84.66,84.67
Australia,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.33,0.63,1,1.93,2.91,3.93,5.35,6.51,7.64,9.05,10.58,12.11,14.3,17.05,19.1,21.05,22.53,24.25,25.97,27.79,29.95,32.26,34.8,37.84,41.57,45.68,49.75,53.43,57.47,61.31,64.73,67.4,69.58,71.41,72.78,73.74,74.73,75.59,76.31,76.81,77.2,77.66,77.97,78.16,78.43,79.99,81.57,82.7,83.33,83.7,83.97,84.22,84.4,84.54,84.67,84.78,84.88,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.94,84.94,84.94,84.94,84.94,84.94,84.94,84.94
Austria,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,1.31,2.36,2.71,2.92,3.25,,5.16,6.89,9.46,11.6,13.35,14.97,17.4,20.51,23.8,27.06,30.83,34.44,38.52,41.4,44.9,48.23,51.1,53.48,55.73,57.44,58.68,59.71,60.35,60.99,61.43,61.94,62.48,63.03,63.64,64.3,64.92,65.42,65.81,66.15,66.56,67.16,68.06,69.61,70.91,71.92,72.8,73.55,74.36,74.75,75.03,75.38,75.78,76.1,76.33,76.48,76.59,76.65,76.7,76.75,76.78,76.8,76.83,76.85,76.86,76.88,76.89,76.9,76.91,76.92,76.93,76.94,76.95,76.96,76.96,76.97,76.98,76.99,77,77,77.01,77.02,77.02,77.03,77.04,77.05,77.05,77.06,77.07,77.08,77.08,77.09,77.1,77.11,77.11,77.12,77.13,77.14,77.14,77.15,77.15,77.16
Azerbaijan,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.63,,0.63,3.26,4.38,4.66,4.93,5.7,7.32,8.58,9.07,9.41,9.71,9.95,10.95,13.06,15.55,17.48,18.82,20.65,22.64,23.89,24.92,25.62,28.22,30.51,33.02,35.85,39.03,42.08,43.51,44.6,45.51,46.42,47.2,47.93,48.19,48.19,48.19,48.49,48.76,48.99,49.22,49.44,49.63,49.78,49.91,50.05,50.21,50.34,50.5,50.65,50.85,50.98,50.98,51.25,51.31,51.35,51.37,51.43,51.47,51.5,51.53,51.55,51.57,51.57,51.6,51.63,51.64,51.64,51.67,51.68,51.72,51.72,51.72,51.79,51.81,51.83,51.84,51.85,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88
Bahamas,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.37,1.71,1.71,3.66,3.66,5.34,6.27,8.78,8.78,10.79,11.31,11.81,12.27,13.22,14.18,14.57,14.71,14.73,14.78,15.07,15.07,15.33,17.98,22.43,25.79,25.79,25.79,27.89,30.3,31.49,31.49,31.49,32.25,35.06,35.06,36.4,36.4,37,37.59,37.59,38.3,38.3,38.57,38.77,38.77,39.15,39.15,39.43,39.66,39.77,39.77,40.03,40.13,40.24,40.34,40.34,40.34,40.55,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,41.8,41.8,41.8,41.96,42.04,42.1,42.16,42.2,42.25,42.25,42.25,42.33,42.33,42.33,42.4,42.48,42.48,42.48,42.48,42.48,42.48
Bahrain,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,4.12,6.06,9.62,9.79,11.65,13,16.9,18.68,20.25,20.95,22.89,28.35,33.12,36.03,38.39,40.93,44.83,48.7,54.15,56.97,59.83,62.8,68.13,69.74,70.9,71.51,72.96,73.8,74.47,74.88,75.37,76,76.5,76.99,77.68,78.19,78.56,78.86,79.04,79.2,79.36,79.54,79.69,79.98,80.26,80.41,80.54,80.68,80.86,81.03,81.2,81.54,81.77,82,82.2,82.36,83.11,83.31,83.36,83.36,83.36,83.64,83.64,83.7,83.73,83.78,83.78,83.8,83.82,83.84,83.88,83.92,83.92,84.01,84.03,84.06,84.08,84.1,84.12,84.14,84.15,84.17,84.18,84.2,84.21,84.22,84.23,84.25,84.25,84.26,84.26,84.27,84.27,84.28,84.28,84.28,84.29,84.29,84.3,84.3,84.3,84.3,84.3,84.31
Bangladesh,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.53,1.22,1.82,2.15,2.57,2.78,3,3.21,3.29,3.34,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.55,5.14,7.69,9.09,9.63,10.59,11.19,12.07,12.94,14.13,19.66,21.12,21.95,23.3,24.41,26.11,30.09,30.96,33.77,37.55,38.46,38.46,38.46,38.46,38.46,50.88,54.56,55.75,55.75,55.75,59.88,60.38,73.2,73.74,74,74.29,74.9,75,75.1,75.16,75.2,75.2,75.26,75.31,75.36,75.38,75.45,75.49,75.52,75.78,75.85,75.87,75.94,75.97,76.02,76.05,76.07,76.14,76.45,76.68,76.84,76.92,77.15,77.41,79,79.72,80.25,82.84,83.72,85.77,86.48,87.11,87.12,87.12,87.12
Barbados,vaccinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.87,13.71,17.51,18.57,21.93,22.61,22.63,23.39,25.12,26.13,26.59,26.8,26.97,27.13,27.78,29.43,31.26,32.69,33.74,33.92,34.16,34.87,35.16,35.48,35.69,35.9,36.64,38.6,41.05,42.91,44.96,47.11,49.23,50.48,51.6,52.24,52.91,53.41,53.9,54.3,54.53,54.69,54.86,55.12,55.21,55.39,55.66,55.97,56.12,56.26,56.48,56.63,56.75,56.84,56.98,57.03,57.09,57.19,57.23,57.3,57.34,57.4,57.43,57.48,57.54,57.6,57.65,57.68,57.68,57.68,57.72,57.75,57.78,57.81,57.84,57.86,57.87,57.89,57.92,57.94,58,58.03,58.08,58.1,58.1,58.1,58.13,58.13,58.13,58.14,58.14,58.14,58.15,58.17,58.17,58.17,58.17
