Origin,Destination,Parameter,Population
Africa,Africa,Continent,19359848
Africa,Asia,Continent,4430864
Africa,Europe,Continent,9322904
Africa,Latin America and the Caribbean,Continent,55825
Africa,Northern America,Continent,2571436
Africa,Oceania,Continent,525551
Asia,Africa,Continent,1225453
Asia,Asia,Continent,63277439
Asia,Europe,Continent,20463256
Asia,Latin America and the Caribbean,Continent,349538
Asia,Northern America,Continent,17201010
Asia,Oceania,Continent,3167398
Europe,Africa,Continent,713041
Europe,Asia,Continent,7008802
Europe,Europe,Continent,39782081
Europe,Latin America and the Caribbean,Continent,1162073
Europe,Northern America,Continent,7341071
Europe,Oceania,Continent,2996696
Latin America and the Caribbean,Africa,Continent,30924
Latin America and the Caribbean,Asia,Continent,444714
Latin America and the Caribbean,Europe,Continent,4361993
Latin America and the Caribbean,Latin America and the Caribbean,Continent,5975626
Latin America and the Caribbean,Northern America,Continent,25303474
Latin America and the Caribbean,Oceania,Continent,160237
Northern America,Africa,Continent,65946
Northern America,Asia,Continent,504368
Northern America,Europe,Continent,1030770
Northern America,Latin America and the Caribbean,Continent,1361188
Northern America,Northern America,Continent,1217801
Northern America,Oceania,Continent,233215
Oceania,Africa,Continent,21135
Oceania,Asia,Continent,94532
Oceania,Europe,Continent,350508
Oceania,Latin America and the Caribbean,Continent,11346
Oceania,Northern America,Continent,283215
Oceania,Oceania,Continent,1122789
Eastern Africa,Eastern Africa,Region,4916062
Eastern Africa,Middle Africa,Region,393170
Eastern Africa,Northern Africa,Region,721361
Eastern Africa,Southern Africa,Region,1440938
Eastern Africa,Western Africa,Region,4022
Eastern Africa,Eastern Asia,Region,0
Eastern Africa,South-Eastern Asia,Region,1181
Eastern Africa,Southern Asia,Region,4051
Eastern Africa,Central Asia,Region,23
Eastern Africa,Western Asia,Region,600232
Eastern Africa,Eastern Europe,Region,4663
Eastern Africa,Northern Europe,Region,846527
Eastern Africa,Southern Europe,Region,199405
Eastern Africa,Western Europe,Region,417954
Eastern Africa,Caribbean,Region,1032
Eastern Africa,Central America,Region,241
Eastern Africa,South America,Region,3009
Eastern Africa,Northern America,Region,821477
Eastern Africa,Oceania,Region,157891
Eastern Asia,Eastern Africa,Region,8257
Eastern Asia,Middle Africa,Region,1430
Eastern Asia,Northern Africa,Region,8411
Eastern Asia,Southern Africa,Region,54829
Eastern Asia,Western Africa,Region,3847
Eastern Asia,Central Asia,Region,100503
Eastern Asia,Eastern Asia,Region,5291533
Eastern Asia,Southern Asia,Region,213956
Eastern Asia,South-Eastern Asia,Region,919812
Eastern Asia,Western Asia,Region,31556
Eastern Asia,Eastern Europe,Region,146137
Eastern Asia,Northern Europe,Region,502926
Eastern Asia,Southern Europe,Region,407229
Eastern Asia,Western Europe,Region,484219
Eastern Asia,Caribbean,Region,8899
Eastern Asia,Central America,Region,52900
Eastern Asia,South America,Region,183685
Eastern Asia,Northern America,Region,5345853
Eastern Asia,Oceania,Region,895097
Eastern Europe,Eastern Africa,Region,592
Eastern Europe,Middle Africa,Region,2761
Eastern Europe,Northern Africa,Region,20083
Eastern Europe,Southern Africa,Region,42650
Eastern Europe,Western Africa,Region,1783
Eastern Europe,Central Asia,Region,4355179
Eastern Europe,Eastern Asia,Region,20391
Eastern Europe,Southern Asia,Region,1484
Eastern Europe,South-Eastern Asia,Region,499
Eastern Europe,Western Asia,Region,1239387
Eastern Europe,Eastern Europe,Region,10473823
Eastern Europe,Northern Europe,Region,2624912
Eastern Europe,Southern Europe,Region,3189078
Eastern Europe,Western Europe,Region,5992317
Eastern Europe,Caribbean,Region,3975
Eastern Europe,Central America,Region,9023
